type,value,timestamp
MSFT,45.90999984741211,2015-07-24 16:00:01
GOOG,31.049999237060547,2015-07-27 16:00:00
MSFT,45.939998626708984,2015-07-27 16:00:01
MSFT,45.58000183105469,2015-07-28 16:00:01
GOOG,31.64150047302246,2015-07-28 16:00:00
GOOG,31.440000534057617,2015-07-29 16:00:00
MSFT,45.400001525878906,2015-07-29 16:00:01
MSFT,46.2599983215332,2015-07-30 16:00:01
GOOG,31.5,2015-07-30 16:00:00
MSFT,47.290000915527344,2015-07-31 16:00:01
GOOG,31.569000244140625,2015-07-31 16:00:00
MSFT,46.97999954223633,2015-08-03 16:00:01
GOOG,31.267000198364254,2015-08-03 16:00:00
MSFT,46.75,2015-08-04 16:00:01
GOOG,31.42099952697754,2015-08-04 16:00:00
MSFT,47.97999954223633,2015-08-05 16:00:01
GOOG,31.71649932861328,2015-08-05 16:00:00
GOOG,32.25,2015-08-06 16:00:00
MSFT,47.709999084472656,2015-08-06 16:00:01
MSFT,46.38999938964844,2015-08-07 16:00:01
GOOG,32.01150131225586,2015-08-07 16:00:00
GOOG,31.974000930786133,2015-08-10 16:00:00
MSFT,46.95000076293945,2015-08-10 16:00:01
MSFT,46.81999969482422,2015-08-11 16:00:01
GOOG,33.459999084472656,2015-08-11 16:00:00
MSFT,46.189998626708984,2015-08-12 16:00:01
GOOG,33.15399932861328,2015-08-12 16:00:00
MSFT,47.060001373291016,2015-08-13 16:00:01
GOOG,32.96609878540039,2015-08-13 16:00:00
MSFT,46.529998779296875,2015-08-14 16:00:01
GOOG,32.7504997253418,2015-08-14 16:00:00
MSFT,46.810001373291016,2015-08-17 16:00:01
GOOG,32.84000015258789,2015-08-17 16:00:00
MSFT,46.84000015258789,2015-08-18 16:00:01
GOOG,33.095001220703125,2015-08-18 16:00:00
MSFT,46.779998779296875,2015-08-19 16:00:01
GOOG,32.83000183105469,2015-08-19 16:00:00
MSFT,46.06999969482422,2015-08-20 16:00:01
GOOG,32.77299880981445,2015-08-20 16:00:00
MSFT,45.29999923706055,2015-08-21 16:00:01
GOOG,31.98900032043457,2015-08-21 16:00:00
GOOG,28.649999618530273,2015-08-24 16:00:00
MSFT,40.45000076293945,2015-08-24 16:00:01
MSFT,42.56999969482422,2015-08-25 16:00:01
GOOG,30.745500564575195,2015-08-25 16:00:00
MSFT,42.0099983215332,2015-08-26 16:00:01
GOOG,30.517499923706055,2015-08-26 16:00:00
MSFT,43.22999954223633,2015-08-27 16:00:01
GOOG,31.969999313354492,2015-08-27 16:00:00
MSFT,43.400001525878906,2015-08-28 16:00:01
GOOG,31.641000747680664,2015-08-28 16:00:00
GOOG,31.37700080871582,2015-08-31 16:00:00
MSFT,43.560001373291016,2015-08-31 16:00:01
MSFT,42.16999816894531,2015-09-01 16:00:01
GOOG,30.118000030517575,2015-09-01 16:00:00
GOOG,30.27949905395508,2015-09-02 16:00:00
MSFT,42.36000061035156,2015-09-02 16:00:01
MSFT,43.40999984741211,2015-09-03 16:00:01
GOOG,30.850000381469727,2015-09-03 16:00:00
MSFT,42.810001373291016,2015-09-04 16:00:01
GOOG,30.0,2015-09-04 16:00:00
MSFT,43.29999923706055,2015-09-08 16:00:01
